# Sales Data for Q1 2025
Date: 2025-01-13 | ProductID: P760 | Quantity: 14 | TotalSales: $631.60
Date: 2025-02-15 | ProductID: P516 | Quantity: 36 | TotalSales: $1223.56
Date: 2025-02-03 | ProductID: P318 | Quantity: 17 | TotalSales: $606.41
Date: 2025-03-31 | ProductID: P569 | Quantity: 87 | TotalSales: $2677.33
Date: 2025-01-03 | ProductID: P695 | Quantity: 18 | TotalSales: $549.04
Date: 2025-01-31 | ProductID: P674 | Quantity: 16 | TotalSales: $378.19
Date: 2025-03-08 | ProductID: P658 | Quantity: 1 | TotalSales: $26.84
Date: 2025-03-24 | ProductID: P721 | Quantity: 26 | TotalSales: $379.30
Date: 2025-01-02 | ProductID: P609 | Quantity: 98 | TotalSales: $3036.23
Date: 2025-01-12 | ProductID: P676 | Quantity: 24 | TotalSales: $245.61
Date: 2025-02-25 | ProductID: P208 | Quantity: 13 | TotalSales: $624.89
Date: 2025-01-03 | ProductID: P192 | Quantity: 36 | TotalSales: $1217.39
Date: 2025-02-20 | ProductID: P980 | Quantity: 2 | TotalSales: $84.98
Date: 2025-03-09 | ProductID: P686 | Quantity: 55 | TotalSales: $1272.99
Date: 2025-03-23 | ProductID: P957 | Quantity: 86 | TotalSales: $2863.35
Date: 2025-02-02 | ProductID: P840 | Quantity: 2 | TotalSales: $25.25
Date: 2025-01-29 | ProductID: P619 | Quantity: 38 | TotalSales: $761.04
Date: 2025-02-12 | ProductID: P988 | Quantity: 44 | TotalSales: $577.48
Date: 2025-01-16 | ProductID: P638 | Quantity: 79 | TotalSales: $3669.40
Date: 2025-02-04 | ProductID: P788 | Quantity: 58 | TotalSales: $2640.84
Date: 2025-03-12 | ProductID: P893 | Quantity: 68 | TotalSales: $2464.13
Date: 2025-03-29 | ProductID: P382 | Quantity: 55 | TotalSales: $1743.15
Date: 2025-01-15 | ProductID: P727 | Quantity: 23 | TotalSales: $487.57
Date: 2025-02-04 | ProductID: P831 | Quantity: 20 | TotalSales: $688.91
Date: 2025-02-12 | ProductID: P587 | Quantity: 21 | TotalSales: $888.59
Date: 2025-01-29 | ProductID: P854 | Quantity: 57 | TotalSales: $774.67
Date: 2025-01-19 | ProductID: P293 | Quantity: 95 | TotalSales: $4735.70
Date: 2025-03-22 | ProductID: P485 | Quantity: 13 | TotalSales: $406.59
Date: 2025-01-11 | ProductID: P819 | Quantity: 24 | TotalSales: $522.08
Date: 2025-01-30 | ProductID: P579 | Quantity: 84 | TotalSales: $3876.97
Date: 2025-03-13 | ProductID: P898 | Quantity: 92 | TotalSales: $2064.40
Date: 2025-01-09 | ProductID: P246 | Quantity: 52 | TotalSales: $1183.06
Date: 2025-01-22 | ProductID: P130 | Quantity: 17 | TotalSales: $721.75
Date: 2025-03-12 | ProductID: P561 | Quantity: 67 | TotalSales: $2330.82
Date: 2025-02-05 | ProductID: P297 | Quantity: 6 | TotalSales: $72.86
Date: 2025-03-15 | ProductID: P446 | Quantity: 11 | TotalSales: $325.91
Date: 2025-03-04 | ProductID: P728 | Quantity: 51 | TotalSales: $731.11
Date: 2025-02-18 | ProductID: P240 | Quantity: 7 | TotalSales: $337.61
Date: 2025-02-28 | ProductID: P665 | Quantity: 2 | TotalSales: $49.74
Date: 2025-03-19 | ProductID: P120 | Quantity: 35 | TotalSales: $1299.29
Date: 2025-01-28 | ProductID: P670 | Quantity: 77 | TotalSales: $2745.03
Date: 2025-01-28 | ProductID: P675 | Quantity: 39 | TotalSales: $1234.43
Date: 2025-03-02 | ProductID: P178 | Quantity: 78 | TotalSales: $866.42
Date: 2025-03-10 | ProductID: P493 | Quantity: 92 | TotalSales: $4034.00
Date: 2025-03-08 | ProductID: P979 | Quantity: 21 | TotalSales: $984.49
Date: 2025-03-30 | ProductID: P282 | Quantity: 83 | TotalSales: $2646.88
Date: 2025-03-23 | ProductID: P683 | Quantity: 71 | TotalSales: $2594.62
Date: 2025-03-03 | ProductID: P954 | Quantity: 51 | TotalSales: $1284.99
Date: 2025-02-12 | ProductID: P464 | Quantity: 46 | TotalSales: $926.41
Date: 2025-03-07 | ProductID: P734 | Quantity: 26 | TotalSales: $664.22
Date: 2025-03-28 | ProductID: P918 | Quantity: 44 | TotalSales: $1915.73
Date: 2025-01-03 | ProductID: P115 | Quantity: 48 | TotalSales: $1668.95
Date: 2025-03-22 | ProductID: P769 | Quantity: 98 | TotalSales: $1809.88
Date: 2025-03-02 | ProductID: P850 | Quantity: 74 | TotalSales: $1110.24
Date: 2025-01-24 | ProductID: P371 | Quantity: 100 | TotalSales: $4059.89
Date: 2025-03-07 | ProductID: P597 | Quantity: 47 | TotalSales: $2269.29
Date: 2025-03-25 | ProductID: P819 | Quantity: 41 | TotalSales: $785.80
Date: 2025-01-25 | ProductID: P927 | Quantity: 55 | TotalSales: $2612.60
Date: 2025-03-02 | ProductID: P923 | Quantity: 23 | TotalSales: $778.39
Date: 2025-02-02 | ProductID: P204 | Quantity: 68 | TotalSales: $3284.59
Date: 2025-03-08 | ProductID: P613 | Quantity: 91 | TotalSales: $1437.04
Date: 2025-01-16 | ProductID: P202 | Quantity: 9 | TotalSales: $243.17
Date: 2025-01-07 | ProductID: P296 | Quantity: 5 | TotalSales: $179.63
Date: 2025-01-19 | ProductID: P366 | Quantity: 77 | TotalSales: $2859.51
Date: 2025-02-06 | ProductID: P145 | Quantity: 35 | TotalSales: $902.76
Date: 2025-03-24 | ProductID: P894 | Quantity: 4 | TotalSales: $143.50
Date: 2025-02-15 | ProductID: P736 | Quantity: 80 | TotalSales: $1667.36
Date: 2025-03-11 | ProductID: P618 | Quantity: 73 | TotalSales: $1021.70
Date: 2025-01-02 | ProductID: P703 | Quantity: 87 | TotalSales: $1505.96
Date: 2025-02-21 | ProductID: P565 | Quantity: 79 | TotalSales: $2358.19
Date: 2025-01-29 | ProductID: P711 | Quantity: 22 | TotalSales: $523.71
Date: 2025-02-16 | ProductID: P259 | Quantity: 24 | TotalSales: $311.17
Date: 2025-03-02 | ProductID: P627 | Quantity: 49 | TotalSales: $1692.14
Date: 2025-01-12 | ProductID: P830 | Quantity: 34 | TotalSales: $640.77
Date: 2025-03-20 | ProductID: P173 | Quantity: 56 | TotalSales: $2664.05
Date: 2025-03-23 | ProductID: P522 | Quantity: 42 | TotalSales: $1466.25
Date: 2025-01-28 | ProductID: P470 | Quantity: 92 | TotalSales: $4444.15
Date: 2025-01-25 | ProductID: P298 | Quantity: 16 | TotalSales: $229.23
Date: 2025-03-23 | ProductID: P781 | Quantity: 62 | TotalSales: $1660.47
Date: 2025-02-23 | ProductID: P382 | Quantity: 75 | TotalSales: $1781.71
Date: 2025-03-05 | ProductID: P848 | Quantity: 38 | TotalSales: $520.49
Date: 2025-01-17 | ProductID: P509 | Quantity: 11 | TotalSales: $274.52
Date: 2025-02-11 | ProductID: P299 | Quantity: 7 | TotalSales: $276.74
Date: 2025-02-07 | ProductID: P940 | Quantity: 50 | TotalSales: $2330.29
Date: 2025-01-04 | ProductID: P195 | Quantity: 1 | TotalSales: $14.01
Date: 2025-01-12 | ProductID: P410 | Quantity: 36 | TotalSales: $1193.60
Date: 2025-02-15 | ProductID: P123 | Quantity: 58 | TotalSales: $2751.73
Date: 2025-02-19 | ProductID: P676 | Quantity: 94 | TotalSales: $1464.36
Date: 2025-03-15 | ProductID: P198 | Quantity: 80 | TotalSales: $3226.19
Date: 2025-02-11 | ProductID: P814 | Quantity: 4 | TotalSales: $150.10
Date: 2025-01-24 | ProductID: P403 | Quantity: 81 | TotalSales: $1023.65
Date: 2025-01-07 | ProductID: P441 | Quantity: 88 | TotalSales: $3805.17
Date: 2025-01-23 | ProductID: P501 | Quantity: 69 | TotalSales: $1947.71
Date: 2025-03-04 | ProductID: P561 | Quantity: 38 | TotalSales: $518.77
Date: 2025-03-04 | ProductID: P272 | Quantity: 55 | TotalSales: $1946.78
Date: 2025-02-28 | ProductID: P897 | Quantity: 8 | TotalSales: $217.12
Date: 2025-03-18 | ProductID: P997 | Quantity: 64 | TotalSales: $2148.61
Date: 2025-01-20 | ProductID: P824 | Quantity: 30 | TotalSales: $1021.54
Date: 2025-03-23 | ProductID: P802 | Quantity: 34 | TotalSales: $1239.09
Date: 2025-01-05 | ProductID: P166 | Quantity: 42 | TotalSales: $1700.39
Date: 2025-01-07 | ProductID: P810 | Quantity: 16 | TotalSales: $214.60
Date: 2025-03-13 | ProductID: P485 | Quantity: 11 | TotalSales: $253.08
Date: 2025-03-08 | ProductID: P795 | Quantity: 53 | TotalSales: $2272.76
Date: 2025-01-29 | ProductID: P379 | Quantity: 6 | TotalSales: $159.93
Date: 2025-03-10 | ProductID: P128 | Quantity: 28 | TotalSales: $925.61
Date: 2025-01-13 | ProductID: P706 | Quantity: 31 | TotalSales: $688.54
Date: 2025-01-15 | ProductID: P695 | Quantity: 28 | TotalSales: $890.37
Date: 2025-03-04 | ProductID: P425 | Quantity: 37 | TotalSales: $1134.10
Date: 2025-02-03 | ProductID: P314 | Quantity: 35 | TotalSales: $1665.43
Date: 2025-02-23 | ProductID: P380 | Quantity: 65 | TotalSales: $2094.09
Date: 2025-02-06 | ProductID: P232 | Quantity: 6 | TotalSales: $219.85
Date: 2025-03-01 | ProductID: P960 | Quantity: 26 | TotalSales: $588.01
Date: 2025-03-08 | ProductID: P934 | Quantity: 38 | TotalSales: $1167.63
Date: 2025-03-09 | ProductID: P193 | Quantity: 11 | TotalSales: $295.09
Date: 2025-01-06 | ProductID: P644 | Quantity: 68 | TotalSales: $755.74
Date: 2025-01-06 | ProductID: P880 | Quantity: 29 | TotalSales: $1390.96
Date: 2025-02-15 | ProductID: P241 | Quantity: 6 | TotalSales: $151.25
Date: 2025-03-14 | ProductID: P753 | Quantity: 3 | TotalSales: $106.59
Date: 2025-02-04 | ProductID: P858 | Quantity: 17 | TotalSales: $183.86
Date: 2025-01-03 | ProductID: P712 | Quantity: 18 | TotalSales: $859.71
Date: 2025-02-09 | ProductID: P613 | Quantity: 7 | TotalSales: $316.63
Date: 2025-02-19 | ProductID: P743 | Quantity: 26 | TotalSales: $408.35
Date: 2025-02-11 | ProductID: P363 | Quantity: 97 | TotalSales: $1397.13
Date: 2025-01-14 | ProductID: P746 | Quantity: 79 | TotalSales: $2141.07
Date: 2025-02-06 | ProductID: P691 | Quantity: 21 | TotalSales: $1021.11
Date: 2025-02-09 | ProductID: P353 | Quantity: 21 | TotalSales: $850.36
Date: 2025-01-08 | ProductID: P160 | Quantity: 33 | TotalSales: $728.65
Date: 2025-03-20 | ProductID: P587 | Quantity: 75 | TotalSales: $776.73
Date: 2025-02-28 | ProductID: P263 | Quantity: 57 | TotalSales: $575.62
Date: 2025-02-17 | ProductID: P964 | Quantity: 39 | TotalSales: $1010.87
Date: 2025-01-24 | ProductID: P148 | Quantity: 33 | TotalSales: $787.35
Date: 2025-03-10 | ProductID: P715 | Quantity: 83 | TotalSales: $3654.63
Date: 2025-03-12 | ProductID: P646 | Quantity: 53 | TotalSales: $2523.72
Date: 2025-02-05 | ProductID: P875 | Quantity: 80 | TotalSales: $1256.73
Date: 2025-02-05 | ProductID: P994 | Quantity: 3 | TotalSales: $85.66
Date: 2025-03-19 | ProductID: P221 | Quantity: 82 | TotalSales: $1218.19
Date: 2025-03-05 | ProductID: P427 | Quantity: 75 | TotalSales: $2561.05
Date: 2025-03-24 | ProductID: P621 | Quantity: 75 | TotalSales: $1701.70
Date: 2025-02-19 | ProductID: P861 | Quantity: 71 | TotalSales: $1206.68
Date: 2025-01-02 | ProductID: P120 | Quantity: 48 | TotalSales: $1904.93
Date: 2025-02-22 | ProductID: P689 | Quantity: 98 | TotalSales: $1768.69
Date: 2025-03-05 | ProductID: P533 | Quantity: 4 | TotalSales: $192.44
Date: 2025-02-01 | ProductID: P953 | Quantity: 61 | TotalSales: $3036.89
Date: 2025-02-01 | ProductID: P311 | Quantity: 53 | TotalSales: $1461.08
Date: 2025-03-17 | ProductID: P465 | Quantity: 32 | TotalSales: $813.18
Date: 2025-01-31 | ProductID: P557 | Quantity: 100 | TotalSales: $4172.46
Date: 2025-02-18 | ProductID: P609 | Quantity: 67 | TotalSales: $2028.94
Date: 2025-02-21 | ProductID: P903 | Quantity: 65 | TotalSales: $2068.25
Date: 2025-02-08 | ProductID: P324 | Quantity: 62 | TotalSales: $2506.89
Date: 2025-02-04 | ProductID: P226 | Quantity: 28 | TotalSales: $835.78
Date: 2025-03-30 | ProductID: P778 | Quantity: 47 | TotalSales: $1361.66
Date: 2025-03-27 | ProductID: P383 | Quantity: 95 | TotalSales: $1125.28
Date: 2025-03-13 | ProductID: P619 | Quantity: 70 | TotalSales: $1153.26
Date: 2025-03-14 | ProductID: P377 | Quantity: 87 | TotalSales: $1473.40
Date: 2025-03-03 | ProductID: P241 | Quantity: 19 | TotalSales: $500.18
Date: 2025-02-17 | ProductID: P786 | Quantity: 20 | TotalSales: $778.49
Date: 2025-01-03 | ProductID: P310 | Quantity: 89 | TotalSales: $2510.42
Date: 2025-01-22 | ProductID: P281 | Quantity: 66 | TotalSales: $1151.68
Date: 2025-01-10 | ProductID: P515 | Quantity: 53 | TotalSales: $1614.04
Date: 2025-01-16 | ProductID: P619 | Quantity: 55 | TotalSales: $2670.05
Date: 2025-02-03 | ProductID: P536 | Quantity: 81 | TotalSales: $2323.06
Date: 2025-01-23 | ProductID: P217 | Quantity: 56 | TotalSales: $1952.80
Date: 2025-03-06 | ProductID: P858 | Quantity: 14 | TotalSales: $515.25
Date: 2025-03-18 | ProductID: P102 | Quantity: 32 | TotalSales: $480.58
Date: 2025-02-01 | ProductID: P385 | Quantity: 3 | TotalSales: $47.06
Date: 2025-02-03 | ProductID: P358 | Quantity: 95 | TotalSales: $3350.60
Date: 2025-02-01 | ProductID: P729 | Quantity: 44 | TotalSales: $1177.34
Date: 2025-01-25 | ProductID: P615 | Quantity: 5 | TotalSales: $158.51
Date: 2025-02-09 | ProductID: P917 | Quantity: 38 | TotalSales: $1501.90
Date: 2025-01-06 | ProductID: P349 | Quantity: 78 | TotalSales: $2398.53
Date: 2025-02-07 | ProductID: P643 | Quantity: 83 | TotalSales: $2577.37
Date: 2025-02-01 | ProductID: P883 | Quantity: 61 | TotalSales: $1399.24
Date: 2025-02-18 | ProductID: P597 | Quantity: 20 | TotalSales: $469.36
Date: 2025-01-24 | ProductID: P511 | Quantity: 51 | TotalSales: $2201.55
Date: 2025-01-29 | ProductID: P820 | Quantity: 94 | TotalSales: $2737.87
Date: 2025-01-29 | ProductID: P426 | Quantity: 21 | TotalSales: $492.95
Date: 2025-02-14 | ProductID: P101 | Quantity: 31 | TotalSales: $1243.62
Date: 2025-01-02 | ProductID: P967 | Quantity: 37 | TotalSales: $1173.06
Date: 2025-02-19 | ProductID: P646 | Quantity: 19 | TotalSales: $401.03
Date: 2025-01-02 | ProductID: P793 | Quantity: 93 | TotalSales: $2261.46
Date: 2025-01-19 | ProductID: P850 | Quantity: 89 | TotalSales: $2804.80
Date: 2025-01-06 | ProductID: P256 | Quantity: 38 | TotalSales: $1787.16
Date: 2025-01-09 | ProductID: P624 | Quantity: 29 | TotalSales: $1396.72
Date: 2025-01-26 | ProductID: P740 | Quantity: 23 | TotalSales: $380.74
Date: 2025-01-08 | ProductID: P683 | Quantity: 36 | TotalSales: $851.84
Date: 2025-02-16 | ProductID: P134 | Quantity: 64 | TotalSales: $815.17
Date: 2025-03-11 | ProductID: P685 | Quantity: 66 | TotalSales: $1952.90
Date: 2025-02-22 | ProductID: P479 | Quantity: 37 | TotalSales: $519.37
Date: 2025-01-14 | ProductID: P438 | Quantity: 85 | TotalSales: $1206.46
Date: 2025-02-28 | ProductID: P379 | Quantity: 99 | TotalSales: $1530.57
Date: 2025-02-20 | ProductID: P240 | Quantity: 17 | TotalSales: $374.48
Date: 2025-03-02 | ProductID: P119 | Quantity: 7 | TotalSales: $168.52
Date: 2025-02-08 | ProductID: P126 | Quantity: 93 | TotalSales: $3524.28
Date: 2025-02-06 | ProductID: P329 | Quantity: 93 | TotalSales: $2314.19
Date: 2025-02-01 | ProductID: P276 | Quantity: 24 | TotalSales: $581.93
Date: 2025-01-13 | ProductID: P480 | Quantity: 27 | TotalSales: $1110.27
Date: 2025-02-13 | ProductID: P244 | Quantity: 85 | TotalSales: $2919.44
Date: 2025-01-18 | ProductID: P563 | Quantity: 80 | TotalSales: $2032.22
Date: 2025-01-12 | ProductID: P946 | Quantity: 37 | TotalSales: $1742.97
Date: 2025-01-17 | ProductID: P875 | Quantity: 52 | TotalSales: $1158.66
Date: 2025-01-02 | ProductID: P909 | Quantity: 8 | TotalSales: $316.06
Date: 2025-02-19 | ProductID: P821 | Quantity: 57 | TotalSales: $1233.21
Date: 2025-03-21 | ProductID: P157 | Quantity: 97 | TotalSales: $2529.14
Date: 2025-03-17 | ProductID: P945 | Quantity: 73 | TotalSales: $3191.97
Date: 2025-03-29 | ProductID: P678 | Quantity: 24 | TotalSales: $646.09
Date: 2025-01-22 | ProductID: P929 | Quantity: 97 | TotalSales: $2872.56
Date: 2025-03-10 | ProductID: P775 | Quantity: 67 | TotalSales: $2121.55
Date: 2025-01-09 | ProductID: P836 | Quantity: 99 | TotalSales: $3289.97
Date: 2025-03-13 | ProductID: P453 | Quantity: 50 | TotalSales: $965.61
Date: 2025-02-15 | ProductID: P414 | Quantity: 88 | TotalSales: $3848.32
Date: 2025-02-08 | ProductID: P340 | Quantity: 31 | TotalSales: $645.41
Date: 2025-01-12 | ProductID: P697 | Quantity: 79 | TotalSales: $3590.64
Date: 2025-02-05 | ProductID: P920 | Quantity: 42 | TotalSales: $878.21
Date: 2025-02-11 | ProductID: P805 | Quantity: 4 | TotalSales: $197.18
Date: 2025-02-08 | ProductID: P966 | Quantity: 31 | TotalSales: $853.38
Date: 2025-03-24 | ProductID: P328 | Quantity: 13 | TotalSales: $435.51
Date: 2025-03-26 | ProductID: P303 | Quantity: 7 | TotalSales: $82.22
Date: 2025-02-07 | ProductID: P487 | Quantity: 14 | TotalSales: $391.52
Date: 2025-03-28 | ProductID: P753 | Quantity: 27 | TotalSales: $759.95
Date: 2025-03-06 | ProductID: P864 | Quantity: 81 | TotalSales: $3222.72
Date: 2025-01-28 | ProductID: P195 | Quantity: 65 | TotalSales: $2285.13
Date: 2025-03-26 | ProductID: P569 | Quantity: 36 | TotalSales: $1183.06
Date: 2025-02-03 | ProductID: P377 | Quantity: 100 | TotalSales: $4104.13
Date: 2025-01-03 | ProductID: P558 | Quantity: 73 | TotalSales: $3420.28
Date: 2025-02-03 | ProductID: P608 | Quantity: 94 | TotalSales: $1900.61
Date: 2025-03-13 | ProductID: P182 | Quantity: 74 | TotalSales: $1139.31
Date: 2025-03-14 | ProductID: P746 | Quantity: 50 | TotalSales: $1347.37
Date: 2025-02-15 | ProductID: P666 | Quantity: 89 | TotalSales: $1475.42
Date: 2025-02-05 | ProductID: P571 | Quantity: 96 | TotalSales: $4143.23
Date: 2025-03-04 | ProductID: P490 | Quantity: 5 | TotalSales: $191.58
Date: 2025-03-10 | ProductID: P922 | Quantity: 37 | TotalSales: $1182.80
Date: 2025-02-14 | ProductID: P277 | Quantity: 90 | TotalSales: $2539.18
Date: 2025-01-09 | ProductID: P645 | Quantity: 72 | TotalSales: $1337.19
Date: 2025-03-27 | ProductID: P161 | Quantity: 84 | TotalSales: $3402.15
Date: 2025-03-24 | ProductID: P937 | Quantity: 27 | TotalSales: $298.33
Date: 2025-02-09 | ProductID: P240 | Quantity: 4 | TotalSales: $48.94
Date: 2025-01-25 | ProductID: P603 | Quantity: 69 | TotalSales: $2599.79
Date: 2025-03-05 | ProductID: P510 | Quantity: 28 | TotalSales: $322.40
Date: 2025-03-12 | ProductID: P738 | Quantity: 6 | TotalSales: $262.02
Date: 2025-03-31 | ProductID: P511 | Quantity: 78 | TotalSales: $2169.55
Date: 2025-01-31 | ProductID: P210 | Quantity: 36 | TotalSales: $1151.60
Date: 2025-01-14 | ProductID: P180 | Quantity: 93 | TotalSales: $4120.62
Date: 2025-03-10 | ProductID: P773 | Quantity: 92 | TotalSales: $1765.88
Date: 2025-02-23 | ProductID: P321 | Quantity: 52 | TotalSales: $1865.20
Date: 2025-02-03 | ProductID: P930 | Quantity: 90 | TotalSales: $3883.79
Date: 2025-01-04 | ProductID: P689 | Quantity: 59 | TotalSales: $1648.44
Date: 2025-03-08 | ProductID: P558 | Quantity: 30 | TotalSales: $1056.38
Date: 2025-01-22 | ProductID: P374 | Quantity: 58 | TotalSales: $1995.82
Date: 2025-01-05 | ProductID: P408 | Quantity: 62 | TotalSales: $630.58
Date: 2025-02-28 | ProductID: P501 | Quantity: 1 | TotalSales: $44.44
Date: 2025-03-03 | ProductID: P852 | Quantity: 60 | TotalSales: $1012.02
Date: 2025-03-29 | ProductID: P999 | Quantity: 53 | TotalSales: $775.68
Date: 2025-01-16 | ProductID: P521 | Quantity: 45 | TotalSales: $999.25
Date: 2025-03-05 | ProductID: P328 | Quantity: 86 | TotalSales: $2540.22
Date: 2025-02-22 | ProductID: P834 | Quantity: 18 | TotalSales: $634.80
Date: 2025-03-21 | ProductID: P546 | Quantity: 100 | TotalSales: $1869.45
Date: 2025-03-31 | ProductID: P119 | Quantity: 9 | TotalSales: $441.59
Date: 2025-03-24 | ProductID: P897 | Quantity: 40 | TotalSales: $1279.46
Date: 2025-02-18 | ProductID: P125 | Quantity: 16 | TotalSales: $401.11
Date: 2025-01-07 | ProductID: P824 | Quantity: 14 | TotalSales: $593.06
Date: 2025-01-25 | ProductID: P925 | Quantity: 89 | TotalSales: $3307.35
Date: 2025-02-21 | ProductID: P951 | Quantity: 49 | TotalSales: $2237.16
Date: 2025-03-16 | ProductID: P807 | Quantity: 35 | TotalSales: $1206.99
Date: 2025-03-14 | ProductID: P780 | Quantity: 77 | TotalSales: $3740.34
Date: 2025-01-02 | ProductID: P473 | Quantity: 13 | TotalSales: $151.82
Date: 2025-02-26 | ProductID: P276 | Quantity: 22 | TotalSales: $844.12
Date: 2025-03-20 | ProductID: P776 | Quantity: 45 | TotalSales: $642.73
Date: 2025-02-10 | ProductID: P230 | Quantity: 35 | TotalSales: $1102.26
Date: 2025-02-21 | ProductID: P103 | Quantity: 76 | TotalSales: $2270.52
Date: 2025-02-05 | ProductID: P650 | Quantity: 98 | TotalSales: $3678.61
